partner_role_id,partner_id,role_id,banking_relationship_id,effective_from,effective_to
PR-0001,P-0001,ROLE-001,BR-0001,2025-01-16 10:00:00,
PR-0002,P-0002,ROLE-002,BR-0001,2025-01-17 10:00:00,
PR-0003,P-0002,ROLE-001,BR-0002,2025-01-04 11:00:00,
PR-0004,P-0003,ROLE-003,BR-0002,2025-01-05 11:00:00,
PR-0005,P-0003,ROLE-001,BR-0003,2024-12-23 12:00:00,
PR-0006,P-0004,ROLE-002,BR-0003,2024-12-24 12:00:00,
PR-0007,P-0004,ROLE-001,BR-0004,2024-12-11 13:00:00,
PR-0008,P-0001,ROLE-003,BR-0004,2024-12-12 13:00:00,
PR-0009,P-0005,ROLE-001,BR-0005,2024-11-29 14:00:00,
PR-0010,P-0007,ROLE-002,BR-0005,2024-11-30 14:00:00,
PR-0011,P-0006,ROLE-001,BR-0006,2024-11-17 15:00:00,
PR-0012,P-0008,ROLE-003,BR-0006,2024-11-18 15:00:00,
